IGO,EEI_z,LEF_z,SpatialScope_0_10,SubjectScope_0_10,LegalInstruments_0_10,Strategies_0_10,Objectives_0_10,InterInstitutionalRelations_0_10,VerticalCoordination_0_10,HorizontalCoordination_0_10,Embeddedness_0_10,AdaptiveCapacity_0_10,NicheSpecialisation_0_10,Age_2025_years,FoundingDensity_5yr_count,CumulativeStock_count
United Nations Environment Programme (UNEP),1.043346357412825,-0.8987701335265238,8.88888888888889,5.0,7.5,10.0,6.666666666666666,5.0,2.5,7.5,4.482758620689655,10.0,2.3611111111111116,53,4,28
United Nations Human Settlements Programme (UN-Habitat),-0.07783086900436606,-0.8987701335265242,1.1111111111111112,5.0,7.5,6.0,6.666666666666666,6.666666666666666,7.5,5.0,6.206896551724137,7.272727272727273,5.305555555555555,48,2,31
"United Nations Industrial Development Organization (UNIDO),",0.05674079869510622,1.9353079517541933,8.88888888888889,3.333333333333333,2.5,8.0,3.333333333333333,10.0,2.5,2.5,4.482758620689655,6.363636363636365,4.111111111111111,59,6,23
United Nations Office for Disaster Risk Reduction (UNDRR),0.4359122841754673,0.6757176916294302,8.88888888888889,3.333333333333333,2.5,6.0,3.333333333333333,10.0,7.5,5.0,7.586206896551724,5.000000000000001,4.611111111111112,26,3,43
United Nations Office for Outer Space Affairs (UNOOSA),-0.4530967371998111,0.9906152566606208,0.0,3.333333333333333,7.5,6.0,1.6666666666666665,10.0,0.0,10.0,6.551724137931033,3.8636363636363633,7.25,67,3,15
United Nations Office for Project Services (UNOPS),-1.3451559932950117,0.04592256156704913,0.0,3.333333333333333,5.0,4.0,3.333333333333333,8.333333333333334,5.0,2.5,4.827586206896552,3.6363636363636376,7.333333333333334,31,8,40
United Nations Office on Drugs and Crime (UNODC),-0.8590863497218154,-0.26897500346414227,0.0,0.0,7.5,4.0,8.333333333333334,8.333333333333334,5.0,5.0,5.862068965517242,7.045454545454547,6.916666666666666,28,3,42
United Nations University (UNU),-1.1857612615791104,-1.2136676985577153,0.0,10.0,7.5,0.0,5.0,3.333333333333333,0.0,5.0,1.7241379310344822,2.0454545454545454,6.25,53,4,28
World Bank Group (WBG),0.6346402462596045,-0.5838725684953332,8.88888888888889,3.333333333333333,7.5,6.0,6.666666666666666,6.666666666666666,2.5,5.0,4.137931034482757,7.272727272727273,3.7777777777777786,81,4,6
World Food Programme (WFP),-1.2974343346197919,-0.5838725684953336,0.0,1.6666666666666665,5.0,6.0,6.666666666666666,1.6666666666666665,2.5,5.0,2.0689655172413786,7.272727272727273,6.416666666666667,64,4,18
World Health Organization (WHO),-0.5498915160132067,-0.26897500346414227,0.0,3.333333333333333,5.0,6.0,3.333333333333333,5.0,2.5,10.0,5.517241379310345,5.000000000000001,6.833333333333334,77,4,11
World Intellectual Property Organisation (WIPO),-0.6047000322494457,-0.5838725684953336,0.0,5.0,7.5,6.0,5.0,5.0,5.0,5.0,4.482758620689655,6.136363636363638,6.0,58,4,25
World Meteorological Organization (WMO),1.2602030900973964,0.04592256156704997,10.0,8.333333333333334,7.5,6.0,5.0,10.0,2.5,5.0,5.517241379310345,6.136363636363638,2.666666666666666,78,5,9
World Tourism Organization/UN Tourism (UNWTO),0.44453964489579206,-0.5838725684953332,8.88888888888889,1.6666666666666665,7.5,6.0,3.333333333333333,5.0,2.5,7.5,4.482758620689655,5.000000000000001,5.027777777777778,79,7,8
World Trade Organization (WTO),0.05452037896185369,0.04592256156704829,7.777777777777778,5.0,5.0,6.0,3.333333333333333,8.333333333333334,2.5,5.0,4.827586206896552,5.000000000000001,4.472222222222221,30,6,41
